	terminology	system	dataset	pair	chrf	comet	cometkiwi	consistency	regex	fuzzy90	tok_regex	tok_fuzzy90
55	term	uedin_twoshot	blind	en-cs	62.383986686077606	0.8349836793817513	0.7909650018475975	0.7372881355932204	0.4615095049877659	0.5535479013739883	0.4976472802559759	0.562017692452475
56	term	TSSNMT_filtered	blind	zh-en	43.02656254163127	0.7549210717635495	0.7229145515177932	0.9714285714285714	0.7647058823529411	0.7647058823529411	0.7794117647058824	0.7794117647058824
57	base	uedin_llm	test	en-cs	56.15179905284249	0.8752216406529316	0.8199228931232339	0.4780793319415449	0.2854545454545454	0.3345454545454545	0.3781818181818182	0.3763636363636363
58	term	uedin_llm	blind	zh-en	40.38299038954043	0.7527684509681404	0.7567655171775992	0.6106651376146789	0.4002061147372037	0.5334936447956029	0.4142906217794572	0.5104774991411886
59	term	uedin_twoshot	blind	de-en	60.490981746506456	0.7919057974164732	0.7568876420323367	0.5744700460829493	0.5504974905344722	0.5917055560447301	0.5601831469578233	0.5873029849432069
60	base	TSSNMT_filtered	test	zh-en	36.34479535362532	0.7074884131550789	0.7234722472727299	0.6363636363636364	0.2244897959183673	0.2448979591836734	0.2857142857142857	0.2857142857142857
61	term	uedin_llm	test	en-cs	56.15179905284249	0.8752216406529316	0.8199228931232339	0.4780793319415449	0.2854545454545454	0.3345454545454545	0.3781818181818182	0.3763636363636363
62	term	uedin_llm_improved	test	en-cs	58.221256018337066	0.8873744995406504	0.8198945306883323	0.5135699373695198	0.3272727272727272	0.3745454545454545	0.4309090909090909	0.42
63	rand	BJTU-LB_system2	blind	zh-en	42.123213562107104	0.7433204812422496	0.741992569430757	0.7549824150058617	0.2950706652878317	0.3657359531196139	0.2988624612202689	0.3522923129955188
64	term	uedin_decode_tag_improved	blind	en-cs	64.74237876932509	0.8677646115298844	0.8235377814952385	0.7502435223066433	0.5331262939958592	0.6053077357425184	0.5844155844155844	0.6257293431206474
65	term	uedin_twoshot	test	de-en	61.65484654132125	0.8316459683666515	0.8039159099484204	0.7682619647355162	0.6550925925925926	0.6759259259259259	0.6782407407407407	0.6828703703703703
66	term	uedin_llm_improved	blind	de-en	60.03650616197703	0.813087731579589	0.8026183970181557	0.587741935483871	0.5283085321827947	0.5649379237474685	0.5566610900766047	0.5603592498018843
67	term	ForceGen_Transformer	blind	zh-en	40.68854337431007	0.7157982637666812	0.7086544835414642	0.7517201834862385	0.8323600137409825	0.854002061147372	0.854002061147372	0.8254895225008588
68	base	uedin_twoshot	blind	de-en	52.59234837284514	0.7846615589659767	0.8147434796455596	0.66036866359447	0.3494651937576714	0.4378397334736104	0.3775206031913028	0.4355602314571278
69	base	ForceGen_Transformer	blind	zh-en	37.10706216468018	0.6964566126665935	0.7113907771669464	0.6072247706422018	0.2483682583304706	0.3940226726210924	0.264170388182755	0.3826863620748884
70	base	uedin_llm	blind	de-en	53.78168294490821	0.7998647471558773	0.8204983786112418	0.6377880184331797	0.382055120190191	0.4511754864841067	0.413049220744915	0.4508232807959849
71	rand	uedin_llm_improved	blind	zh-en	40.05965160660499	0.7533847820253882	0.7492545560102949	0.6377491207502931	0.2350913478110996	0.322992071699414	0.2406066873491899	0.3057566356428817
72	term	uedin_decode_tag	blind	de-en	60.695291771789016	0.794057595302203	0.7592920236885952	0.5793548387096774	0.5553403187461478	0.5962842299903144	0.5642335123712248	0.5918816588887911
